astar,bodytrack_1m,bzip2,canneal.uniq,gcc,mcf,perlbench,streamcluster,swim,twolf, ,块大小,映射方式,写策略,替换策略
0.233961,0.002547,0.020615,0.010728,0.042367,0.049447,0.036668,0.043420,0.065750,0.011847, ,8,直接映射,写分配+写回,LRU
0.232791,0.002482,0.012170,0.007631,0.041095,0.045759,0.020712,0.026471,0.065384,0.011404, ,8,4-way组相联,写分配+写回,LRU
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写回,LRU
0.232597,0.002482,0.012170,0.007497,0.040889,0.045759,0.017541,0.008516,0.065358,0.011402, ,8,全相联,写分配+写回,LRU
0.098377,0.002547,0.013311,0.010728,0.013394,0.021968,0.023138,0.043420,0.021590,0.003877, ,32,直接映射,写分配+写回,LRU
0.096299,0.002482,0.003063,0.007631,0.011978,0.018245,0.011357,0.026471,0.021181,0.003409, ,32,4-way组相联,写分配+写回,LRU
0.096275,0.002482,0.003063,0.007644,0.011924,0.018245,0.008222,0.023820,0.021165,0.003401, ,32,8-way组相联,写分配+写回,LRU
0.095940,0.002482,0.003063,0.007497,0.011874,0.018245,0.006602,0.012833,0.021109,0.003401, ,32,全相联,写分配+写回,LRU
0.052681,0.002547,0.015897,0.010728,0.008492,0.014595,0.018940,0.043420,0.012217,0.002713, ,64,直接映射,写分配+写回,LRU
0.050099,0.002482,0.001544,0.007631,0.006779,0.010837,0.008531,0.026471,0.011491,0.001984, ,64,4-way组相联,写分配+写回,LRU
0.050001,0.002482,0.001544,0.007644,0.006754,0.010837,0.006245,0.023820,0.011465,0.001976, ,64,8-way组相联,写分配+写回,LRU
0.049670,0.002482,0.001544,0.007650,0.006731,0.010837,0.003874,0.020532,0.011465,0.001974, ,64,全相联,写分配+写回,LRU
0.232332,0.002482,0.012170,0.008302,0.041145,0.045984,0.017931,0.030324,0.065780,0.011402, ,8,8-way组相联,写分配+写回,随机
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写回,LRU
0.232874,0.002482,0.012170,0.007679,0.040901,0.045759,0.017833,0.024752,0.065361,0.011402, ,8,8-way组相联,写分配+写回,二叉树
0.232246,0.002482,0.012170,0.007677,0.040913,0.045759,0.018103,0.028457,0.065368,0.011402, ,8,8-way组相联,写分配+写回,Protected LRU
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写回,LRU
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写直达,LRU
0.344989,0.002482,0.086699,0.007644,0.086652,0.111469,0.046634,0.023820,0.096104,0.014508, ,8,8-way组相联,写不分配+写回,LRU
0.344989,0.002482,0.086699,0.007644,0.086652,0.111469,0.046634,0.023820,0.096104,0.014508, ,8,8-way组相联,写不分配+写直达,LRU
